pillar_id,group,display_name,proposed_path,existing_owner,gsc_clicks,gsc_impressions,semantic_equivalent,decision,final_canonical,redirect_required,publication_status,notes
P25,developer-tools,MCP Registry & Discovery,/guides/mcp-marketplaces,/guides/mcp-marketplaces,0,0,"Registries, directories, and marketplaces for MCP server discovery.",KEEP_EXISTING_CANONICAL,/guides/mcp-marketplaces,no,published,
P26,developer-tools,MCP CLI Tools,/cli-tools,,0,0,Command-line tools for managing MCP servers and clients.,EVIDENCE_REVIEW,/cli-tools,no,review,No published pillar yet. Awaiting editorial content.
P27,developer-tools,MCP IDE Integrations,/clients/cursor,/clients/cursor,0,0,"MCP support in IDEs: Cursor, VS Code, Windsurf, and others.",KEEP_EXISTING_CANONICAL,/clients/cursor,no,published,Authority pillar is served by the /clients collection; cursor page is the canonical first-party example.
P28,developer-tools,MCP Proxy & Gateway,/proxy-gateway,,0,0,Proxy and gateway patterns for routing MCP traffic across multiple servers.,EVIDENCE_REVIEW,/proxy-gateway,no,review,No published pillar yet. Awaiting editorial content.
P29,developer-tools,MCP Observability & Monitoring,/observability,,0,0,"Observability, tracing, and monitoring for MCP server fleets.",EVIDENCE_REVIEW,/observability,no,review,No published pillar yet. Awaiting editorial content.
P30,developer-tools,MCP Deployment & Hosting,/deployment,,0,0,Deployment and hosting patterns for remote MCP servers.,EVIDENCE_REVIEW,/deployment,no,review,"GSC equity exists on child routes (/deployment/aws, etc.) but no /deployment collection page exists. Requires editorial decision: create /deployment page or map to closest existing content."
P31,security-governance,MCP Security Best Practices,/security/mcp-security,/security/mcp-security,0,0,"MCP security overview: threat model, authentication, tool permissions, prompt injection.",KEEP_EXISTING_CANONICAL,/security/mcp-security,no,published,
P32,security-governance,MCP Permissions & Scoping,/security/tool-security,/security/tool-security,0,0,"Permissions, scoping, and least-privilege for MCP tools.",KEEP_EXISTING_CANONICAL,/security/tool-security,no,published,
P33,security-governance,MCP Secret Management,/secret-management,,0,0,Secret management patterns for MCP server credentials and tokens.,EVIDENCE_REVIEW,/secret-management,no,review,No published pillar yet. Awaiting editorial content.
P34,security-governance,MCP Audit Logging,/audit-logging,,0,0,Audit logging for MCP tool invocations and access events.,EVIDENCE_REVIEW,/audit-logging,no,review,No published pillar yet. Awaiting editorial content.
P35,security-governance,MCP Sandboxing & Isolation,/sandboxing,,0,0,Sandboxing and isolation patterns for running MCP servers safely.,EVIDENCE_REVIEW,/sandboxing,no,review,No published pillar yet. Awaiting editorial content.
P36,security-governance,MCP Compliance & Governance,/compliance,,0,0,Compliance and governance frameworks for MCP deployments.,EVIDENCE_REVIEW,/compliance,no,review,No published pillar yet. Awaiting editorial content.
P37,security-governance,MCP Threat Modeling,/threat-modeling,,0,0,Threat modeling for MCP-based AI agent systems.,EVIDENCE_REVIEW,/threat-modeling,no,review,No published pillar yet. Awaiting editorial content.
P38,security-governance,MCP Rate Limiting & Quotas,/rate-limiting,,0,0,Rate limiting and quota management for MCP server endpoints.,EVIDENCE_REVIEW,/rate-limiting,no,review,No published pillar yet. Awaiting editorial content.
P39,security-governance,MCP Identity & Access Management,/identity-access,,0,0,Identity and access management for MCP clients and servers.,EVIDENCE_REVIEW,/identity-access,no,review,No published pillar yet. Awaiting editorial content.
P40,security-governance,MCP Vulnerability Scanning,/vulnerability-scanning,,0,0,Vulnerability scanning for MCP server implementations.,EVIDENCE_REVIEW,/vulnerability-scanning,no,review,No published pillar yet. Awaiting editorial content.
P41,ai-agentic,MCP Agentic Workflows,/agentic-workflows,,0,0,Designing agentic workflows powered by MCP tools and resources.,EVIDENCE_REVIEW,/agentic-workflows,no,review,No published pillar yet. Awaiting editorial content.
P42,ai-agentic,MCP Multi-Agent Systems,/multi-agent-systems,,0,0,Multi-agent coordination patterns using MCP servers as shared tools.,EVIDENCE_REVIEW,/multi-agent-systems,no,review,No published pillar yet. Awaiting editorial content.
P43,ai-agentic,MCP Tool Calling Optimization,/tool-calling,,0,0,"Optimizing tool calling: schema design, batching, and error handling.",EVIDENCE_REVIEW,/tool-calling,no,review,No published pillar yet. Awaiting editorial content.
P44,ai-agentic,MCP Context Management,/context-management,,0,0,Context window and resource management for MCP-driven agents.,EVIDENCE_REVIEW,/context-management,no,review,No published pillar yet. Awaiting editorial content.
P45,ai-agentic,MCP Evaluation & Benchmarking,/evaluation,,0,0,Evaluation and benchmarking of MCP-based AI agent systems.,EVIDENCE_REVIEW,/evaluation,no,review,No published pillar yet. Awaiting editorial content.
P46,ai-agentic,MCP Orchestration Frameworks,/orchestration,,0,0,Orchestration frameworks for managing complex MCP agent flows.,EVIDENCE_REVIEW,/orchestration,no,review,No published pillar yet. Awaiting editorial content.
P47,ai-agentic,MCP Memory & State Management,/memory-state,,0,0,Memory and persistent state patterns for MCP agents.,EVIDENCE_REVIEW,/memory-state,no,review,No published pillar yet. Awaiting editorial content.
P48,ai-agentic,MCP Human-in-the-Loop,/human-in-the-loop,,0,0,Human-in-the-loop patterns for MCP-driven AI agents.,EVIDENCE_REVIEW,/human-in-the-loop,no,review,No published pillar yet. Awaiting editorial content.
P49,ai-agentic,MCP Autonomous Agents,/autonomous-agents,,0,0,Autonomous agent architectures leveraging MCP servers.,EVIDENCE_REVIEW,/autonomous-agents,no,review,No published pillar yet. Awaiting editorial content.
P50,ai-agentic,MCP AI Safety & Alignment,/ai-safety,,0,0,Safety and alignment considerations for MCP-based agent systems.,EVIDENCE_REVIEW,/ai-safety,no,review,No published pillar yet. Awaiting editorial content.
P51,industry-use-cases,MCP for Software Engineering,/guides/mcp-servers-for-developers,/guides/mcp-servers-for-developers,0,0,"MCP servers for software engineering: version control, databases, code tools.",KEEP_EXISTING_CANONICAL,/guides/mcp-servers-for-developers,no,published,
P52,industry-use-cases,MCP for Data Science,/use-case-data-science,,0,0,"MCP servers for data science: notebooks, datasets, and analysis tools.",EVIDENCE_REVIEW,/use-case-data-science,no,review,No published pillar yet. Awaiting editorial content.
P53,industry-use-cases,MCP for DevOps & SRE,/use-case-devops,,0,0,"MCP servers for DevOps and SRE: infrastructure, monitoring, and incident response.",EVIDENCE_REVIEW,/use-case-devops,no,review,No published pillar yet. Awaiting editorial content.
P54,industry-use-cases,MCP for Customer Support,/use-case-support,,0,0,"MCP servers for customer support: ticket systems, knowledge bases, and CRM access.",EVIDENCE_REVIEW,/use-case-support,no,review,No published pillar yet. Awaiting editorial content.
P55,industry-use-cases,MCP for Legal & Compliance,/use-case-legal,,0,0,"MCP servers for legal and compliance: document review, policy lookup, and audit.",EVIDENCE_REVIEW,/use-case-legal,no,review,No published pillar yet. Awaiting editorial content.
P56,industry-use-cases,MCP for Healthcare,/use-case-healthcare,,0,0,"MCP servers for healthcare: clinical data, EHR access, and HIPAA considerations.",EVIDENCE_REVIEW,/use-case-healthcare,no,review,No published pillar yet. Awaiting editorial content.
P57,industry-use-cases,MCP for Finance & Trading,/use-case-finance,,0,0,"MCP servers for finance and trading: market data, broker APIs, and compliance.",EVIDENCE_REVIEW,/use-case-finance,no,review,No published pillar yet. Awaiting editorial content.
P58,industry-use-cases,MCP for Education & Research,/use-case-education,,0,0,"MCP servers for education and research: literature search, citation tools, and tutoring.",EVIDENCE_REVIEW,/use-case-education,no,review,No published pillar yet. Awaiting editorial content.
P59,industry-use-cases,MCP for Marketing & SEO,/use-case-marketing,,0,0,"MCP servers for marketing and SEO: content analysis, keyword research, and analytics.",EVIDENCE_REVIEW,/use-case-marketing,no,review,No published pillar yet. Awaiting editorial content.
P60,industry-use-cases,MCP for Personal Productivity,/guides/mcp-productivity,/guides/mcp-productivity,0,0,"MCP servers for personal productivity: documents, calendars, and task management.",KEEP_EXISTING_CANONICAL,/guides/mcp-productivity,no,published,
P61,authority-system,MCP Server Compare,/compare,/compare,0,0,Evidence-based MCP server comparisons.,KEEP_EXISTING_CANONICAL,/compare,no,published,
P62,authority-system,MCP Categories,/categories,/categories,0,0,MCP servers grouped by category.,EVIDENCE_REVIEW,/categories,no,published,
P63,authority-system,MCP Capabilities,/capabilities,/capabilities,0,0,MCP servers grouped by capability.,EVIDENCE_REVIEW,/capabilities,no,published,
P64,authority-system,MCP How It Works,/learn/how-mcp-works,/learn/how-mcp-works,0,0,Step-by-step explanation of how an MCP request flows.,KEEP_EXISTING_CANONICAL,/learn/how-mcp-works,no,published,
P65,authority-system,MCP Use Cases,/learn/mcp-use-cases,/learn/mcp-use-cases,0,0,"Real MCP use cases across workflows, databases, and automation.",KEEP_EXISTING_CANONICAL,/learn/mcp-use-cases,no,published,
P66,authority-system,MCP Documentation,/docs,/docs,1,13,"Documentation hub: reference, guides, and protocol specification links.",EVIDENCE_REVIEW,/docs,no,published,
P67,authority-system,MCP Guides,/guides,/guides,0,0,"Decision, comparison, and troubleshooting guides.",KEEP_EXISTING_CANONICAL,/guides,no,published,
P68,authority-system,MCP Blog,/blog,,0,0,"Editorial blog: announcements, deep-dives, and ecosystem news.",EVIDENCE_REVIEW,/blog,no,review,GSC has 163+159+141+134 clicks on individual /blog/* children. /blog collection page not yet created. Create /blog index or map to nearest existing collection.
P69,authority-system,MCP Pillar Directory,/pillars,,0,0,The canonical 69-pillar directory for the entire authority graph.,EVIDENCE_REVIEW,/pillars,no,published,New route — generates from this registry.
